experiment_name,prompt_name,template_id,coding_model,universal_model,ablation_type,healthcheck_pass,success,exit_code,docker_healthy,duration_seconds,timestamp,template_failed,total_input_tokens,total_output_tokens,total_llm_calls,total_llm_time,source_dir
car-maintenance-dashboard_trpc-agent_claude_gemini,car-maintenance-dashboard,trpc-agent,claude,gemini,no_playwright,true,true,0,true,426.684569,2025-08-20T12:02:34.619495,false,993011,62844,116,899.7116832733154,dataset/ablations/benchmark_results_no_playwright
cat-conspiracy-tracker_trpc-agent_claude_gemini,cat-conspiracy-tracker,trpc-agent,claude,gemini,no_playwright,true,true,0,true,573.446042,2025-08-20T12:28:48.718882,false,644043,45864,87,661.8466777801514,dataset/ablations/benchmark_results_no_playwright
pomodoro-study-timer_trpc-agent_claude_gemini,pomodoro-study-timer,trpc-agent,claude,gemini,no_playwright,true,true,0,true,495.853487,2025-08-20T12:26:48.789436,false,122779,16192,43,253.1070408821106,dataset/ablations/benchmark_results_no_playwright
personal-expense-tracker_trpc-agent_claude_gemini,personal-expense-tracker,trpc-agent,claude,gemini,no_playwright,false,false,1,false,632.740027,2025-08-20T12:16:20.562467,false,1351617,76279,132,1070.9659667015076,dataset/ablations/benchmark_results_no_playwright
daily-pattern-visualizer_trpc-agent_claude_gemini,daily-pattern-visualizer,trpc-agent,claude,gemini,no_playwright,true,true,0,true,271.735948,2025-08-20T12:03:42.686952,false,322751,41005,63,538.7736411094666,dataset/ablations/benchmark_results_no_playwright
kanji-flashcards_trpc-agent_claude_gemini,kanji-flashcards,trpc-agent,claude,gemini,no_playwright,true,true,0,true,476.144645,2025-08-20T12:11:10.145566,false,783428,70725,99,889.2005031108856,dataset/ablations/benchmark_results_no_playwright
indonesian-inventory-app_trpc-agent_claude_gemini,indonesian-inventory-app,trpc-agent,claude,gemini,no_playwright,true,true,0,true,466.966435,2025-08-20T12:23:11.765855,false,339980,38309,58,464.4275197982788,dataset/ablations/benchmark_results_no_playwright
bookmark-management-app_trpc-agent_claude_gemini,bookmark-management-app,trpc-agent,claude,gemini,no_playwright,true,true,0,true,580.592428,2025-08-20T12:13:23.282089,false,934165,73089,152,988.3292582035065,dataset/ablations/benchmark_results_no_playwright
roommate-chore-wheel_trpc-agent_claude_gemini,roommate-chore-wheel,trpc-agent,claude,gemini,no_playwright,true,true,0,true,242.17227,2025-08-20T11:59:30.115015,false,217043,29557,62,423.8738741874695,dataset/ablations/benchmark_results_no_playwright
plant-care-tracker_trpc-agent_claude_gemini,plant-care-tracker,trpc-agent,claude,gemini,no_playwright,true,true,0,true,229.453451,2025-08-20T11:59:17.381653,false,74689,12957,32,179.3534209728241,dataset/ablations/benchmark_results_no_playwright
recipe-sharing-platform_trpc-agent_claude_gemini,recipe-sharing-platform,trpc-agent,claude,gemini,no_playwright,true,true,0,true,537.798688,2025-08-20T12:25:43.678106,false,953599,82405,119,1030.9610784053802,dataset/ablations/benchmark_results_no_playwright
pc-gaming-niche-site_trpc-agent_claude_gemini,pc-gaming-niche-site,trpc-agent,claude,gemini,no_playwright,true,true,0,true,489.486702,2025-08-20T12:19:19.635037,false,659812,49299,90,651.1927967071533,dataset/ablations/benchmark_results_no_playwright
teacher-question-bank_trpc-agent_claude_gemini,teacher-question-bank,trpc-agent,claude,gemini,no_playwright,true,true,0,true,639.484137,2025-08-20T12:12:25.317676,false,745699,83298,138,1257.0651226043701,dataset/ablations/benchmark_results_no_playwright
habit-tracker-app_trpc-agent_claude_gemini,habit-tracker-app,trpc-agent,claude,gemini,no_playwright,true,true,0,true,462.014464,2025-08-20T12:24:02.579651,false,609388,46983,83,624.1029241085052,dataset/ablations/benchmark_results_no_playwright
home-lab-inventory_trpc-agent_claude_gemini,home-lab-inventory,trpc-agent,claude,gemini,no_playwright,true,true,0,true,609.84367,2025-08-20T12:09:39.962224,false,1048936,70118,119,929.459424495697,dataset/ablations/benchmark_results_no_playwright
tennis-enthusiast-platform_trpc-agent_claude_gemini,tennis-enthusiast-platform,trpc-agent,claude,gemini,no_playwright,false,false,1,false,367.612641,2025-08-20T12:18:32.933453,false,448539,43579,78,590.7203922271729,dataset/ablations/benchmark_results_no_playwright
book-library-manager_trpc-agent_claude_gemini,book-library-manager,trpc-agent,claude,gemini,no_playwright,true,true,0,true,329.046464,2025-08-20T12:00:56.991880,false,478652,32405,75,465.628999710083,dataset/ablations/benchmark_results_no_playwright
birthday-wish-app_trpc-agent_claude_gemini,birthday-wish-app,trpc-agent,claude,gemini,no_playwright,true,true,0,true,747.084679,2025-08-20T12:22:07.049013,false,496583,70151,121,976.9291186332703,dataset/ablations/benchmark_results_no_playwright
basic-inventory-system_trpc-agent_claude_gemini,basic-inventory-system,trpc-agent,claude,gemini,no_playwright,true,true,0,true,374.32909,2025-08-20T12:05:47.820068,false,258543,45421,69,550.5984790325165,dataset/ablations/benchmark_results_no_playwright
