run_name,prompt_name,template_id,coding_model,universal_model,success,docker_healthy,duration_seconds,total_tokens,total_model_calls,exit_code,timestamp
recipe-sharing-platform_trpc-agent_gpt-oss_gemini,recipe-sharing-platform,trpc_agent,gpt-oss,gemini,True,True,772.087972,917798,124,0,2025-08-20T14:41:47.152970
basic-inventory-system_trpc-agent_gpt-oss_gemini,basic-inventory-system,trpc_agent,gpt-oss,gemini,True,True,225.642807,387860,54,0,2025-08-20T13:44:56.913936
cat-conspiracy-tracker_trpc-agent_qwen3-480b-35a_gemini,cat-conspiracy-tracker,trpc_agent,qwen3-480b-35a,gemini,True,True,456.522659,667425,83,0,2025-08-20T14:46:14.498757
todo-list-with-mood_trpc-agent_qwen3-480b-35a_gemini,todo-list-with-mood,trpc_agent,qwen3-480b-35a,gemini,True,True,763.126474,2247872,236,0,2025-08-20T14:14:32.850943
birthday-wish-app_trpc-agent_qwen3-480b-35a_gemini,birthday-wish-app,trpc_agent,qwen3-480b-35a,gemini,False,False,1500.169088,2723422,286,124,2025-08-20T14:28:55.010128
pantry-inventory-app_trpc-agent_qwen3-480b-35a_gemini,pantry-inventory-app,trpc_agent,qwen3-480b-35a,gemini,True,True,790.258116,1730065,221,0,2025-08-20T13:48:08.269805
currency-converter_trpc-agent_gpt-oss_gemini,currency-converter,trpc_agent,gpt-oss,gemini,True,True,556.910457,1174185,133,0,2025-08-20T13:35:00.772157
pomodoro-study-timer_trpc-agent_gpt-oss_gemini,pomodoro-study-timer,trpc_agent,gpt-oss,gemini,True,True,430.705163,1194947,178,0,2025-08-20T14:44:46.925594
pastel-blue-notes-app_trpc-agent_gpt-oss_gemini,pastel-blue-notes-app,trpc_agent,gpt-oss,gemini,True,True,152.258222,393722,53,0,2025-08-20T13:45:20.734281
city-trip-advisor_trpc-agent_gpt-oss_gemini,city-trip-advisor,trpc_agent,gpt-oss,gemini,True,True,226.454786,206218,45,0,2025-08-20T13:23:50.785493
