Case,Assignee,AB-01 Boot,AB-02 Prompt,AB-03 Create,AB-04 View/Edit,AB‑06 Clickable Sweep,AB‑07 Performance >75,Notes,PASS#,WARN#,FAIL#,PTS
habit-tracker-app_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
car-maintenance-dashboard_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
engineering-job-board_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
plumbing-business-landing-page_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,PASS,PASS,NA,FAIL,PASS,"most of click like like email, call are not redirecting to correctly. Limited information and functions in UI.
Performance: 91, Best Practices: 93",4,0,1,8
plant-care-tracker_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,FAIL,WARN,NA,WARN,PASS,"not implemented completely, no date option while creation, cannot water plant
Performance: 93, Best Practices: 93",2,2,1,0
beer-counter-app_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
currency-converter_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,FAIL,NA,NA,NA,NA,Cannot performed any actions,1,0,1,0
roommate-chore-wheel_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
pantry-inventory-app_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
kanji-flashcards_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
plant-care-tracker_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,incomplete / no source code,0,0,1,0
daily-pattern-visualizer_trpc-agent_gpt-oss_gemini,A1,PASS,FAIL,FAIL,NA,FAIL,PASS,"immature UI and incomplete features; Performance: 93, Best Practices: 93",2,0,3,0
roommate-chore-wheel_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,WARN,PASS,FAIL,FAIL,PASS,"Unable to assign chores to members
Performance: 93, Best Practices: 93",3,1,2,7
indonesian-inventory-app_trpc-agent_gpt-oss_gemini,A1,PASS,FAIL,FAIL,NA,PASS,PASS,"add product does not work (important), add trasaction forms throw errors (important): Uncaught (in promise) TRPCClientError: insert or update on table ""transactions"" violates foreign key constraint ""transactions_item_id_items_id_fk""
    at tl.from (index-Ubhl7Paj.js:49:37825)
    at index-Ubhl7Paj.js:49:44561; Performance: 90, Best Practices: 93",3,0,2,0
teacher-question-bank_trpc-agent_qwen3-480b-35a_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
wellness-score-tracker_trpc-agent_gpt-oss_gemini,A2,WARN,NA,NA,NA,NA,NA,"Failed to fetch wellness entries: TRPCClientError: No procedure found on path ""trpc/getWellnessEntries""",0,1,0,0.8
car-maintenance-dashboard_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,PASS,PASS,FAIL,PASS,PASS,"refresh cleans up the data; Performance: 92, Best Practices: 93",5,0,1,9
indonesian-inventory-app_trpc-agent_qwen3-480b-35a_gemini,A1,FAIL,NA,NA,NA,NA,NA,incomplete / no source code,0,0,1,0
book-library-manager_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 88, Best Practices: 93",6,0,0,10
habit-tracker-app_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,WARN,PASS,NA,PASS,PASS,"Not included all functionality/features from prompt
Performance: 93, Best Practices: 93",4,1,0,8
beer-counter-app_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 93, Best Practices: 93",6,0,0,10
bookmark-management-app_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
city-trip-advisor_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,FAIL,NA,NA,PASS,PASS,"fetching data fails: Error fetching weather forecast: TRPCClientError: Weather forecast not available for tomorrow
    at Te.from (index-CQ82CVFB.js:49:37803)
    at index-CQ82CVFB.js:49:44567; Performance: 95, Best Practices: 93",3,0,1,0
pomodoro-study-timer_trpc-agent_qwen3-480b-35a_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
basic-inventory-system_trpc-agent_qwen3-480b-35a_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
recipe-sharing-platform_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
basic-inventory-system_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
cat-conspiracy-tracker_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,PASS,PASS,NA,PASS,PASS,"Performance: 87, Best Practices: 93",5,0,0,9
todo-list-with-mood_trpc-agent_qwen3-480b-35a_gemini,A1,PASS,PASS,PASS,FAIL,PASS,PASS,"mood tracking is faulty and refresh cleans up the mood related data; Performance: 86, Best Practices: 93",5,0,1,9
birthday-wish-app_trpc-agent_qwen3-480b-35a_gemini,A1,FAIL,NA,NA,NA,NA,NA,incomplete / no source code,0,0,1,0
pantry-inventory-app_trpc-agent_qwen3-480b-35a_gemini,A2,PASS,FAIL,WARN,FAIL,FAIL,PASS,"ugly UI, Failed to load expiring items: TRPCClientError: relation ""pantry_items"" does not exist
Performance: 86, Best Practices: 89",2,1,3,0
currency-converter_trpc-agent_gpt-oss_gemini,A2,PASS,WARN,WARN,PASS,PASS,PASS,"UI is ugly, Limited options fro convertion
Performance: 90, Best Practices: 93",4,2,0,8.5
pomodoro-study-timer_trpc-agent_gpt-oss_gemini,A1,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
pastel-blue-notes-app_trpc-agent_gpt-oss_gemini,A2,FAIL,NA,NA,NA,NA,NA,template: under construction,0,0,1,0
city-trip-advisor_trpc-agent_gpt-oss_gemini,A1,PASS,FAIL,PASS,NA,PASS,PASS,"mocked / wrong data; Performance: 94, Best Practices: 93",4,0,1,0
