Case,Assignee,AB-01 Boot,AB-02 Prompt,AB-03 Create,AB-04 View/Edit,AB‑06 Clickable Sweep,AB‑07 Performance >75,Notes,PASS#,WARN#,FAIL#,PTS
pantry-inventory-app_trpc-agent_claude_gemini,A1,PASS,WARN,PASS,PASS,PASS,PASS,"recipe generation with AI does not work (optional feature); Performance: 90, Best Practices: 93",5,1,0,9
pastel-blue-notes-app_trpc-agent_claude_gemini,A1,PASS,WARN,PASS,PASS,PASS,PASS,"user login does not work (but signup works); Performance: 87, Best Practices: 93",5,1,0,9
pc-gaming-niche-site_trpc-agent_claude_gemini,A1,PASS,PASS,PASS,WARN,WARN,PASS,"edit post button launches delete function, refresh is needed to update UI; Performance: 87, Best Practices: 93",4,2,0,9
personal-expense-tracker_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 86, Best Practices: 93",6,0,0,10
plant-care-tracker_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 88, Best Practices: 93",6,0,0,10
plumbing-business-landing-page_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,NA,FAIL,WARN,"most of click like like email, call are not redirecting to correctly. Limited information and functions in UI.
Performance: 70, Best Practices: 93",3,1,1,0
pomodoro-study-timer_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 91, Best Practices: 93",6,0,0,10
recipe-sharing-platform_trpc-agent_claude_gemini,A2,PASS,PASS,FAIL,NA,PASS,PASS,"irrelevant pop up : please add at least one ingredient and one instruction(though it is satisfy), once logout user login gives invalid with same email and password earlier created(but signup works for new one and existing create data is there)
Performance: 89, Best Practices: 93",4,0,1,0
roommate-chore-wheel_trpc-agent_claude_gemini,A2,PASS,FAIL,NA,PASS,PASS,PASS,"no action to add users, only to add chore
Performance: 89, Best Practices: 93",4,0,1,0
teacher-question-bank_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 83, Best Practices: 93",6,0,0,10
tennis-enthusiast-platform_trpc-agent_claude_gemini,A2,PASS,WARN,FAIL,NA,WARN,PASS,"Uncaught Error: A <Select.Item /> must have a value prop that is not an empty string. This is because the Select value can be set to an empty string to clear the selection and show the placeholder, Failed to send message: TRPCClientError: Sender, Failed to update profile: TRPCClientError: User
Performance: 88, Best Practices: 93",2,2,1,0
todo-list-with-mood_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,PASS,PASS,PASS,"Performance: 91, Best Practices: 93",6,0,0,10
wellness-score-tracker_trpc-agent_claude_gemini,A2,PASS,PASS,PASS,WARN,PASS,PASS,"unable to delete history, gives error when try to override for existing date (TRPCClientError: entry already exists for user)
Performance: 85, Best Practices: 93",5,1,0,9.5
